epoch,train_loss,val_loss,iou0,iou1,iou2,miou
1,0.5933,0.6146,0.7160,0.0000,0.0000,0.2387
2,0.2774,0.1805,0.9484,0.0000,0.9336,0.6273
3,0.1428,0.1967,0.9425,0.0000,0.8565,0.5997
4,0.1276,0.1378,0.9507,0.0000,0.9342,0.6283
5,0.1224,0.1590,0.9512,0.0000,0.9259,0.6257
6,0.1183,0.1627,0.9528,0.0000,0.9119,0.6216
7,0.1209,0.1516,0.9528,0.0000,0.8959,0.6162
8,0.1166,0.1624,0.9512,0.0000,0.9288,0.6267
9,0.1151,0.2130,0.9524,0.0000,0.8679,0.6068
10,0.1153,0.1813,0.9531,0.0000,0.9111,0.6214
