epoch,train_loss,val_miou,iou_class0,iou_class1,iou_class2
1,0.5504149023443461,0.24892578125,0.74677734375,0.0,0.0
2,0.4889678880572319,0.25710449218750003,0.7713134765625,0.0,0.0
3,0.34316878132522105,0.5975268636428015,0.9318085684935645,0.0,0.86077202243484
4,0.22549246431638797,0.5981560111672937,0.9313798329816636,0.0,0.8630882005202175
5,0.18848378354062637,0.5946120071973071,0.9159850187265918,0.0,0.8678510028653296
6,0.15842409717539946,0.5936558137047161,0.9256119687100324,0.0,0.855355472404116
7,0.1433105359164377,0.6725962217237079,0.9374882378771721,0.18840579710144928,0.8918946301925025
8,0.10786850675940514,0.7295861996265401,0.9429713270743466,0.3331034482758621,0.9126838235294118
9,0.10294683331934114,0.7474521258703098,0.9463472399344143,0.4145267791636097,0.8814823585129056
10,0.10438459577659766,0.7233543657237019,0.9403551418492277,0.36312849162011174,0.8665794637017659
